学号,路径,路程/km,高铁|火车,时间/h,没买到想买的票,可支配收入/RMB,自付|家庭报销,票价/RMB,注重舒适程度,注重时间成本
9181XXXX0138,南京-醴陵,824,1,6,0,1800,0,474.5,1,1
9181XXXX0107,南京-本溪,1621,1,9.07,0,1500,0,651.5,1,1
9181XXXX1216,南京-安顺,1600,1,10.93,0,2000,1,588,1,1
9181XXXX0127,南京-丹东,1700,1,10,0,2000,0,525,1,1
9181XXXX0111,南京-重庆,1361,1,9.75,0,1200,0,470,1,1
9171XXXX0239,南京-开原,1637,1,8.58,0,1800,0,670,0,1
9181XXXX1217,南京-宜昌,805,1,5.17,0,1500,0,308,1,1
9181XXXX0308,南京-上海,301,1,1.58,0,2000,0,134.5,1,1
9181XXXX1023,南京-长春,2013,1,9.38,1,1500,0,760,1,1
9181XXXX0111,南京-哈尔滨,2300,1,10.5,0,2000,1,656.5,1,1
9181XXXX0330,南京-绍兴,299,1,1.87,0,1500,1,137.5,0,1
9171XXXX0119,南京-青岛,980,0,13,0,1500,0,300,1,1
9181XXXX0214,南京-广州,1803,1,7.28,0,2000,0,660,1,0
9181XXXX0207,南京-九江,450,0,7.83,0,2000,1,64,1,0
9171XXXX0124,南京-太原,1204,0,12,0,500,1,152.5,1,0
9181XXXX0104,南京-如皋,239,0,2.12,0,1600,0,88.5,1,1
9161XXXX0339,南京-绵阳,1629,1,9.12,1,2000,0,785,1,0
9171XXXX0305,南京-北京,1162,1,4,0,1700,1,443.5,1,1
9171XXXX0103,南京-天津,1024,1,3.83,0,2000,1,393.5,1,1
9181XXXX0713,南京-安康,1569,0,16.73,1,1800,0,267.5,1,1
9171XXXX0238,南京-贵阳,2045,0,1.57,1,5000,1,213,0,0
9181XXXX0115,南京-衡阳,1282,1,5.35,0,2000,0,334,1,1
9171XXXX0227,南京-衡阳,1282,1,5.33,0,1800,1,445,1,1
9181XXXX0105,南京-泉州,1339,0,8.45,0,1300,1,318,0,0
9181XXXX0439,南京-重庆,1361,1,10,0,2000,0,443.6,0,1
9171XXXX0109,南京-哈尔滨,2300,1,10.67,0,2000,0,869,1,1
9171XXXX0131,南京-成都,1866,1,12,0,1500,0,566.5,1,0
9181XXXX0743,南京-威海,1050,1,7.18,0,1500,0,347,1,1
9181XXXX0118,南京-洛阳,821,1,3.45,0,1500,1,383,1,1
9171XXXX0308,南京-汉中,1423,1,7.35,0,1500,0,637,1,1
9181XXXX0407,南京-苏州,200,1,0.82,0,1700,1,99.5,1,1
9181XXXX0135,南京-成都,1866,1,10.7,0,1800,0,820,1,1
9181XXXX0114,南京-长春,2000,1,10.58,0,1500,0,800,1,1
9171XXXX0444, 南京-安康,1569,0,19.78,0,2500,1,178,1,0
